GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.skillsync.notification.mapper,NotificationMapper,0,18,0,0,0,4,0,1,0,1
notification-service,com.skillsync.notification.service.command,NotificationCommandService,0,127,0,0,0,29,0,8,0,8
notification-service,com.skillsync.notification.controller,NotificationController,25,31,0,0,5,7,3,4,3,4
notification-service,com.skillsync.notification.dto,UserSummary,0,18,0,0,0,1,0,1,0,1
notification-service,com.skillsync.notification.dto,NotificationResponse,0,24,0,0,0,1,0,1,0,1
notification-service,com.skillsync.notification.dto,EmailRetryEvent,0,21,0,0,0,1,0,1,0,1
notification-service,com.skillsync.notification.service.query,NotificationQueryService,0,45,0,2,0,9,0,6,0,5
notification-service,com.skillsync.notification.consumer,MentorEventConsumer,34,379,9,9,7,71,9,7,0,7
notification-service,com.skillsync.notification.consumer,PaymentEventConsumer,35,466,11,11,10,90,11,11,0,11
notification-service,com.skillsync.notification.consumer,EmailRetryConsumer,6,198,0,4,3,26,0,4,0,2
notification-service,com.skillsync.notification.consumer,ReviewEventConsumer,12,153,6,8,2,30,6,6,0,5
notification-service,com.skillsync.notification.consumer,SessionEventConsumer,71,828,1,31,13,158,1,29,0,14
notification-service,com.skillsync.notification,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
notification-service,com.skillsync.notification.service,EmailService,52,227,1,9,6,50,1,11,0,7
notification-service,com.skillsync.notification.service,WebSocketService,0,26,0,0,0,8,0,2,0,2
notification-service,com.skillsync.notification.service,NotificationService,0,115,0,0,0,27,0,9,0,9
notification-service,com.skillsync.notification.config,WebSocketConfig,64,0,2,0,12,0,6,0,5,0
notification-service,com.skillsync.notification.config,RabbitMQConfig,234,0,0,0,39,0,36,0,36,0
notification-service,com.skillsync.notification.config,OpenApiConfig,50,0,0,0,14,0,2,0,2,0
notification-service,com.skillsync.notification.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
notification-service,com.skillsync.notification.exception,GlobalExceptionHandler,107,7,0,0,25,2,5,2,5,2
notification-service,com.skillsync.notification.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
